test.subset,train.subsets,groups,test.fold,seed,n.train.groups,iteration,Train_subsets,uhash,nr,task_id,learner_id,resampling_id,classif.auc,classif.acc,algorithm
2019,all,41408,1,1,41408,1,all,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.973818593637394,0.970345963756178,cv_glmnet
2020,all,41408,1,1,41408,2,all,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.974613553239943,0.97627606038821,cv_glmnet
2019,all,41408,2,1,41408,3,all,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.970524039946463,0.977484898407468,cv_glmnet
2020,all,41408,2,1,41408,4,all,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.95878241359969,0.974110032362459,cv_glmnet
2019,all,41408,3,1,41408,5,all,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.965911664779161,0.971444261394838,cv_glmnet
2020,all,41408,3,1,41408,6,all,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.965340639427019,0.979144192736426,cv_glmnet
2019,all,41408,4,1,41408,7,all,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.96927828683208,0.976386600768808,cv_glmnet
2020,all,41408,4,1,41408,8,all,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.97582085688398,0.97950377562028,cv_glmnet
2019,all,41408,5,1,41408,9,all,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.969659219602594,0.973091707852828,cv_glmnet
2020,all,41408,5,1,41408,10,all,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.968710359408033,0.975188781014024,cv_glmnet
2019,all,41408,6,1,41408,11,all,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.98659528467003,0.978034047226798,cv_glmnet
2020,all,41408,6,1,41408,12,all,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.966911161927772,0.973750449478605,cv_glmnet
2019,all,41408,7,1,41408,13,all,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.979425034099256,0.975810885101704,cv_glmnet
2020,all,41408,7,1,41408,14,all,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.969474047547137,0.976267529665588,cv_glmnet
2019,all,41408,8,1,41408,15,all,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.967096841884376,0.974161627267729,cv_glmnet
2020,all,41408,8,1,41408,16,all,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.954918694750629,0.974460431654676,cv_glmnet
