job.id,submitted,started,done,error,mem.used,batch.id,log.file,job.hash,job.name,repl,time.queued,time.running,problem,algorithm,tags,learner_id
1,2026-02-24T17:01:35.900500Z,2026-02-24T17:01:37.214500Z,2026-02-24T17:04:25.673800Z,,,7302694_1,job7db3566daef9fa85bcbe5d031b6e961c.log_1,job7db3566daef9fa85bcbe5d031b6e961c,399fa998-45de-446e-baab-bf61c80f0c1a,1,1.31399989128113,168.459300041199,ec3770ae7f439181,run_learner,,classif.cv_glmnet
2,2026-02-24T17:01:35.900500Z,2026-02-24T17:01:45.328800Z,2026-02-24T17:06:29.243600Z,,,7302694_2,job7db3566daef9fa85bcbe5d031b6e961c.log_2,job7db3566daef9fa85bcbe5d031b6e961c,399fa998-45de-446e-baab-bf61c80f0c1a,2,9.42829990386963,283.914799928665,ec3770ae7f439181,run_learner,,classif.cv_glmnet
3,2026-02-24T17:01:35.900500Z,2026-02-24T17:01:38.948400Z,2026-02-24T17:06:08.442Z,,,7302694_3,job7db3566daef9fa85bcbe5d031b6e961c.log_3,job7db3566daef9fa85bcbe5d031b6e961c,399fa998-45de-446e-baab-bf61c80f0c1a,3,3.04789996147156,269.493599891663,ec3770ae7f439181,run_learner,,classif.cv_glmnet
4,2026-02-24T17:01:35.900500Z,2026-02-24T17:01:41.044400Z,2026-02-24T17:06:24.378700Z,,,7302694_4,job7db3566daef9fa85bcbe5d031b6e961c.log_4,job7db3566daef9fa85bcbe5d031b6e961c,399fa998-45de-446e-baab-bf61c80f0c1a,4,5.14389991760254,283.334300041199,ec3770ae7f439181,run_learner,,classif.cv_glmnet
5,2026-02-24T17:01:35.900500Z,2026-02-24T17:01:43.150600Z,2026-02-24T17:06:32.656700Z,,,7302694_5,job7db3566daef9fa85bcbe5d031b6e961c.log_5,job7db3566daef9fa85bcbe5d031b6e961c,399fa998-45de-446e-baab-bf61c80f0c1a,5,7.25009989738464,289.506099939346,ec3770ae7f439181,run_learner,,classif.cv_glmnet
6,2026-02-24T17:01:35.900500Z,2026-02-24T17:01:37.191800Z,2026-02-24T17:06:34.347300Z,,,7302694_6,job7db3566daef9fa85bcbe5d031b6e961c.log_6,job7db3566daef9fa85bcbe5d031b6e961c,399fa998-45de-446e-baab-bf61c80f0c1a,6,1.29130005836487,297.15549993515,ec3770ae7f439181,run_learner,,classif.cv_glmnet
7,2026-02-24T17:01:35.900500Z,2026-02-24T17:01:36.963900Z,2026-02-24T17:03:16.402100Z,,,7302694_7,job7db3566daef9fa85bcbe5d031b6e961c.log_7,job7db3566daef9fa85bcbe5d031b6e961c,399fa998-45de-446e-baab-bf61c80f0c1a,7,1.06340003013611,99.4381999969482,ec3770ae7f439181,run_learner,,classif.cv_glmnet
8,2026-02-24T17:01:35.900500Z,2026-02-24T17:01:37.149800Z,2026-02-24T17:03:21.185800Z,,,7302694_8,job7db3566daef9fa85bcbe5d031b6e961c.log_8,job7db3566daef9fa85bcbe5d031b6e961c,399fa998-45de-446e-baab-bf61c80f0c1a,8,1.24930000305176,104.036000013351,ec3770ae7f439181,run_learner,,classif.cv_glmnet
9,2026-02-24T17:01:35.900500Z,2026-02-24T17:01:38.969700Z,2026-02-24T17:03:31.569800Z,,,7302694_9,job7db3566daef9fa85bcbe5d031b6e961c.log_9,job7db3566daef9fa85bcbe5d031b6e961c,399fa998-45de-446e-baab-bf61c80f0c1a,9,3.06920003890991,112.600099802017,ec3770ae7f439181,run_learner,,classif.cv_glmnet
10,2026-02-24T17:01:35.900500Z,2026-02-24T17:01:38.826500Z,2026-02-24T17:03:48.654800Z,,,7302694_10,job7db3566daef9fa85bcbe5d031b6e961c.log_10,job7db3566daef9fa85bcbe5d031b6e961c,399fa998-45de-446e-baab-bf61c80f0c1a,10,2.92599987983704,129.828299999237,ec3770ae7f439181,run_learner,,classif.cv_glmnet
