grid_job_i,task.i,learner.i,resampling.i,task_id,learner_id,resampling_id,test.subset,train.subsets,groups,test.fold,seed,n.train.groups,iteration,Train_subsets,start.time,end.time,process,classif.auc,classif.acc
1,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,1,1,41408,1,all,2026-02-24T21:22:10.850863Z,2026-02-24T21:33:57.639385Z,,0.968166374961391,0.978583196046129
10,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,5,1,41408,10,all,2026-02-24T22:45:32.295509Z,2026-02-24T22:50:52.946089Z,,0.975652586616043,0.980942107155699
11,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,6,1,41408,11,all,2026-02-24T21:22:11.765753Z,2026-02-24T21:33:36.934100Z,,0.977319056934006,0.973091707852828
12,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,6,1,41408,12,all,2026-02-24T21:33:37.509687Z,2026-02-24T21:45:33.506033Z,,0.95925702204772,0.974469615246314
13,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,7,1,41408,13,all,2026-02-24T21:45:33.575256Z,2026-02-24T21:57:30.423993Z,,0.975186234393033,0.975261132490379
14,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,7,1,41408,14,all,2026-02-24T21:57:30.528675Z,2026-02-24T22:09:23.706265Z,,0.970949648358286,0.975188781014024
15,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,8,1,41408,15,all,2026-02-24T22:09:23.754334Z,2026-02-24T22:22:36.216587Z,,0.96953100409191,0.97306212204508
16,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,8,1,41408,16,all,2026-02-24T22:22:36.316301Z,2026-02-24T22:31:20.734909Z,,0.978696933318783,0.977697841726619
17,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,9,1,41408,17,all,2026-02-24T22:31:20.758271Z,2026-02-24T22:36:23.166230Z,,0.972195992026021,0.976910390324354
18,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,9,1,41408,18,all,2026-02-24T22:36:23.191461Z,2026-02-24T22:41:26.893439Z,,0.971389282985921,0.974460431654676
19,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,10,1,41408,19,all,2026-02-24T22:41:27.102853Z,2026-02-24T22:46:25.407958Z,,0.972300912810828,0.976360637713029
2,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,1,1,41408,2,all,2026-02-24T21:33:58.368668Z,2026-02-24T21:46:11.639761Z,,0.967544510385757,0.975197699496765
20,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,10,1,41408,20,all,2026-02-24T22:46:25.432836Z,2026-02-24T22:51:34.096615Z,,0.958205827785658,0.974820143884892
21,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,1,1,25027,21,other,2026-02-24T21:22:13.593594Z,2026-02-24T21:29:56.174390Z,,0.968557603212191,0.977484898407468
22,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,2,1,25027,23,other,2026-02-24T21:29:57.072488Z,2026-02-24T21:36:42.730868Z,,0.975610007206836,0.974739154310818
23,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,3,1,25027,25,other,2026-02-24T21:36:42.781181Z,2026-02-24T21:42:35.735738Z,,0.977504375579121,0.975837451949478
24,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,4,1,25027,27,other,2026-02-24T21:42:35.836508Z,2026-02-24T21:50:22.999902Z,,0.958776896942242,0.974739154310818
25,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,5,1,25027,29,other,2026-02-24T21:50:23.068177Z,2026-02-24T21:56:34.769231Z,,0.96600432410172,0.973640856672158
26,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,6,1,25027,31,other,2026-02-24T21:56:35.129310Z,2026-02-24T22:03:07.907626Z,,0.974971687429219,0.971993410214168
27,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,7,1,25027,33,other,2026-02-24T22:03:07.994237Z,2026-02-24T22:09:28.797392Z,,0.975301647256321,0.975261132490379
28,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,8,1,25027,35,other,2026-02-24T22:09:28.864290Z,2026-02-24T22:16:32.987795Z,,0.968345399223587,0.973611874656405
29,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,9,1,25027,37,other,2026-02-24T22:16:33.082524Z,2026-02-24T22:23:11.885498Z,,0.970737593117197,0.975261132490379
3,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,2,1,41408,3,all,2026-02-24T21:46:11.740949Z,2026-02-24T21:57:57.648242Z,,0.978832492535778,0.975288303130148
30,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,10,1,25027,39,other,2026-02-24T22:23:11.980248Z,2026-02-24T22:28:45.587347Z,,0.968854265029902,0.975810885101704
31,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,1,1,25027,42,same,2026-02-24T21:22:14.167151Z,2026-02-24T21:29:53.401227Z,,0.965448381754191,0.974838245866283
32,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,2,1,25027,44,same,2026-02-24T21:29:54.131129Z,2026-02-24T21:37:04.015080Z,,0.958178366484014,0.976627112549443
33,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,3,1,25027,46,same,2026-02-24T21:37:04.109630Z,2026-02-24T21:43:03.568231Z,,0.969323035768219,0.974110032362459
34,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,4,1,25027,48,same,2026-02-24T21:43:03.664859Z,2026-02-24T21:50:36.739203Z,,0.958102860594554,0.974829198130169
35,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,5,1,25027,50,same,2026-02-24T21:50:36.829360Z,2026-02-24T21:56:57.344842Z,,0.974327997583812,0.978425026968716
36,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,6,1,25027,52,same,2026-02-24T21:56:57.428892Z,2026-02-24T22:03:28.321441Z,,0.957509600034517,0.975188781014024
37,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,7,1,25027,54,same,2026-02-24T22:03:28.421234Z,2026-02-24T22:09:36.855442Z,,0.967804288734521,0.975907946781733
38,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,8,1,25027,56,same,2026-02-24T22:09:36.902108Z,2026-02-24T22:16:41.060887Z,,0.979067990832696,0.97841726618705
39,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,9,1,25027,58,same,2026-02-24T22:16:41.137773Z,2026-02-24T22:23:28.422142Z,,0.970153879733711,0.973741007194245
4,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,2,1,41408,4,all,2026-02-24T21:57:57.757326Z,2026-02-24T22:09:39.823864Z,,0.960780083703671,0.974829198130169
40,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,10,1,25027,60,same,2026-02-24T22:23:28.513755Z,2026-02-24T22:29:03.457357Z,,0.956918039943251,0.974820143884892
41,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,1,1,16381,22,other,2026-02-24T21:22:15.394369Z,2026-02-24T21:28:02.184014Z,,0.965806362569871,0.974478792235802
42,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,2,1,16381,24,other,2026-02-24T21:28:03.348712Z,2026-02-24T21:34:45.754525Z,,0.952146524571773,0.973031283710895
43,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,3,1,16381,26,other,2026-02-24T21:34:45.853086Z,2026-02-24T21:41:17.180475Z,,0.96775467057859,0.973031283710895
44,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,4,1,16381,28,other,2026-02-24T21:41:17.587383Z,2026-02-24T21:47:38.715755Z,,0.958452344997195,0.972312117943186
45,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,5,1,16381,30,other,2026-02-24T21:47:38.789600Z,2026-02-24T21:54:22.566349Z,,0.975492945592615,0.977705861201007
46,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,6,1,16381,32,other,2026-02-24T21:54:22.624081Z,2026-02-24T22:01:16.345602Z,,0.956515079604782,0.972312117943186
47,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,7,1,16381,34,other,2026-02-24T22:01:16.387071Z,2026-02-24T22:07:39.230059Z,,0.967223972041248,0.976267529665588
48,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,8,1,16381,36,other,2026-02-24T22:07:39.332461Z,2026-02-24T22:14:34.552548Z,,0.976536068973043,0.977338129496403
49,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,9,1,16381,38,other,2026-02-24T22:14:34.667821Z,2026-02-24T22:21:17.688528Z,,0.965524391574811,0.973021582733813
5,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,3,1,41408,5,all,2026-02-24T22:09:39.908766Z,2026-02-24T22:21:58.048876Z,,0.978111808915886,0.974739154310818
50,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,10,1,16381,40,other,2026-02-24T22:21:17.857424Z,2026-02-24T22:27:29.495597Z,,0.954150387427698,0.973741007194245
51,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,1,1,16381,41,same,2026-02-24T21:22:16.931905Z,2026-02-24T21:28:12.853338Z,,0.962714918150933,0.976935749588138
52,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,2,1,16381,43,same,2026-02-24T21:28:13.822547Z,2026-02-24T21:34:44.831798Z,,0.976521157211985,0.975288303130148
53,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,3,1,16381,45,same,2026-02-24T21:34:44.904700Z,2026-02-24T21:41:29.003270Z,,0.976624112014825,0.973091707852828
54,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,4,1,16381,47,same,2026-02-24T21:41:29.089780Z,2026-02-24T21:47:59.696596Z,,0.959549057963553,0.975837451949478
55,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,5,1,16381,49,same,2026-02-24T21:47:59.785613Z,2026-02-24T21:55:05.306711Z,,0.963178214763719,0.971444261394838
56,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,6,1,16381,51,same,2026-02-24T21:55:05.395808Z,2026-02-24T22:01:15.004612Z,,0.973890661999382,0.973091707852828
57,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,7,1,16381,53,same,2026-02-24T22:01:15.101027Z,2026-02-24T22:07:45.454221Z,,0.970637918371629,0.97306212204508
58,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,8,1,16381,55,same,2026-02-24T22:07:45.554680Z,2026-02-24T22:14:45.717508Z,,0.970349386213408,0.97196261682243
