grid_job_i,task.i,learner.i,resampling.i,task_id,learner_id,resampling_id,test.subset,train.subsets,groups,test.fold,seed,n.train.groups,iteration,Train_subsets,start.time,end.time,process,classif.auc,classif.acc
1,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,1,1,41408,1,all,2026-02-26T14:17:07.617432Z,2026-02-26T14:28:24.370074Z,16172,0.969010604344693,0.979132344865459
10,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,5,1,41408,10,all,2026-02-26T15:39:03.402582Z,2026-02-26T15:44:13.013584Z,16172,0.97620485826466,0.98022294138799
11,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,6,1,41408,11,all,2026-02-26T14:17:08.366426Z,2026-02-26T14:28:05.028779Z,14236,0.977319056934006,0.973091707852828
12,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,6,1,41408,12,all,2026-02-26T14:28:05.103315Z,2026-02-26T14:40:38.887700Z,14236,0.959623764939381,0.97339086659475
13,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,7,1,41408,13,all,2026-02-26T14:40:38.952817Z,2026-02-26T14:52:09.415925Z,14236,0.975018361137342,0.975261132490379
14,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,7,1,41408,14,all,2026-02-26T14:52:09.480458Z,2026-02-26T15:03:23.162417Z,14236,0.969858048927817,0.975548363897878
15,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,8,1,41408,15,all,2026-02-26T15:03:23.198184Z,2026-02-26T15:15:20.796260Z,14236,0.969478543699507,0.97306212204508
16,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,8,1,41408,16,all,2026-02-26T15:15:20.844083Z,2026-02-26T15:24:33.631093Z,14236,0.980015278838808,0.979136690647482
17,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,9,1,41408,17,all,2026-02-26T15:24:33.644166Z,2026-02-26T15:29:45.710673Z,14236,0.972500262301962,0.977460142935679
18,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,9,1,41408,18,all,2026-02-26T15:29:45.723728Z,2026-02-26T15:34:32.615685Z,14236,0.971009494706973,0.974460431654676
19,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,10,1,41408,19,all,2026-02-26T15:34:32.633212Z,2026-02-26T15:39:22.439868Z,14236,0.972300912810828,0.976360637713029
2,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,1,1,41408,2,all,2026-02-26T14:28:24.427721Z,2026-02-26T14:39:59.839219Z,16172,0.967557449451382,0.975197699496765
20,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,10,1,41408,20,all,2026-02-26T15:39:22.451218Z,2026-02-26T15:44:05.132451Z,14236,0.960567499727163,0.975539568345324
21,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,1,1,25027,21,other,2026-02-26T14:17:08.852365Z,2026-02-26T14:24:35.764178Z,9284,0.968557603212191,0.977484898407468
22,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,2,1,25027,23,other,2026-02-26T14:24:35.876084Z,2026-02-26T14:30:50.357251Z,9284,0.976969010604344,0.972542559033498
23,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,3,1,25027,25,other,2026-02-26T14:30:50.397564Z,2026-02-26T14:36:59.977971Z,9284,0.977761762586225,0.974190005491488
24,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,4,1,25027,27,other,2026-02-26T14:37:00.053763Z,2026-02-26T14:44:16.541516Z,9284,0.958776896942242,0.974739154310818
25,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,5,1,25027,29,other,2026-02-26T14:44:16.691223Z,2026-02-26T14:50:26.836079Z,9284,0.965602800370638,0.974739154310818
26,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,6,1,25027,31,other,2026-02-26T14:50:26.895819Z,2026-02-26T14:56:30.944628Z,9284,0.974477504375578,0.971993410214168
27,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,7,1,25027,33,other,2026-02-26T14:56:30.992592Z,2026-02-26T15:02:40.858352Z,9284,0.975616409610744,0.975810885101704
28,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,8,1,25027,35,other,2026-02-26T15:02:40.919078Z,2026-02-26T15:09:24.738786Z,9284,0.968072605183086,0.97306212204508
29,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,9,1,25027,37,other,2026-02-26T15:09:24.765353Z,2026-02-26T15:15:35.469520Z,9284,0.970737593117197,0.975261132490379
3,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,2,1,41408,3,all,2026-02-26T14:39:59.912310Z,2026-02-26T14:51:40.853050Z,16172,0.97879131061464,0.975288303130148
30,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,10,1,25027,39,other,2026-02-26T15:15:35.524811Z,2026-02-26T15:21:27.893703Z,9284,0.968854265029902,0.975810885101704
31,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,1,1,25027,42,same,2026-02-26T14:17:09.412744Z,2026-02-26T14:24:49.966013Z,10588,0.965353495272928,0.974838245866283
32,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,2,1,25027,44,same,2026-02-26T14:24:50.016745Z,2026-02-26T14:31:05.186629Z,10588,0.95654959658282,0.975548363897878
33,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,3,1,25027,46,same,2026-02-26T14:31:05.207591Z,2026-02-26T14:37:13.855910Z,10588,0.969590542348016,0.974469615246314
34,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,4,1,25027,48,same,2026-02-26T14:37:13.926614Z,2026-02-26T14:44:53.327135Z,10588,0.958102860594554,0.974829198130169
35,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,5,1,25027,50,same,2026-02-26T14:44:53.386309Z,2026-02-26T14:51:54.756038Z,10588,0.974543728696552,0.978784609852571
36,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,6,1,25027,52,same,2026-02-26T14:51:54.789257Z,2026-02-26T14:58:04.665071Z,10588,0.957945376882253,0.974829198130169
37,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,7,1,25027,54,same,2026-02-26T14:58:04.717652Z,2026-02-26T15:04:05.881463Z,10588,0.968593864607154,0.976627112549443
38,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,8,1,25027,56,same,2026-02-26T15:04:05.929780Z,2026-02-26T15:10:52.663517Z,10588,0.979164029248063,0.97841726618705
39,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,9,1,25027,58,same,2026-02-26T15:10:52.754151Z,2026-02-26T15:17:29.744628Z,10588,0.970511841100075,0.974820143884892
4,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,2,1,41408,4,all,2026-02-26T14:51:40.899413Z,2026-02-26T15:02:59.128919Z,16172,0.959917159252707,0.974469615246314
40,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,10,1,25027,60,same,2026-02-26T15:17:29.803018Z,2026-02-26T15:23:08.326219Z,10588,0.956918039943251,0.974820143884892
41,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,1,1,16381,22,other,2026-02-26T14:17:10.298323Z,2026-02-26T14:23:06.159627Z,1520,0.965806362569871,0.974478792235802
