grid_job_i,task.i,learner.i,resampling.i,task_id,learner_id,resampling_id,test.subset,train.subsets,groups,test.fold,seed,n.train.groups,iteration,Train_subsets,start.time,end.time,process,classif.auc,classif.acc
10,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,5,1,41408,10,all,2026-02-26T02:54:30.966079Z,2026-02-26T03:12:16.920233Z,1670356,0.976472364844458,0.98022294138799
11,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,6,1,41408,11,all,2026-02-26T03:12:17.071134Z,2026-02-26T03:30:12.844784Z,1670356,0.975970349016782,0.974190005491488
12,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,6,1,41408,12,all,2026-02-26T03:30:12.909634Z,2026-02-26T03:41:49.137432Z,1670356,0.959623764939381,0.97339086659475
13,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,7,1,41408,13,all,2026-02-26T03:41:49.162862Z,2026-02-26T03:48:06.036559Z,1670356,0.975186234393033,0.975261132490379
14,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,7,1,41408,14,all,2026-02-26T02:54:31.307325Z,2026-02-26T03:12:06.363334Z,1670355,0.970423264443197,0.975548363897878
15,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,8,1,41408,15,all,2026-02-26T03:12:06.420577Z,2026-02-26T03:30:21.406619Z,1670355,0.969478543699507,0.97306212204508
16,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,8,1,41408,16,all,2026-02-26T03:30:21.498313Z,2026-02-26T03:41:46.199299Z,1670355,0.980312124849939,0.978776978417266
17,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,9,1,41408,17,all,2026-02-26T03:41:46.212828Z,2026-02-26T03:47:25.657497Z,1670355,0.971881229671598,0.976910390324354
18,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,9,1,41408,18,all,2026-02-26T02:54:31.581995Z,2026-02-26T03:11:46.143715Z,1670349,0.971009494706973,0.974460431654676
19,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,10,1,41408,19,all,2026-02-26T03:11:46.198112Z,2026-02-26T03:29:03.416497Z,1670349,0.971650403945022,0.975261132490379
1,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,1,1,41408,1,all,2026-02-26T02:54:30.469314Z,2026-02-26T03:12:22.560441Z,1670345,0.969659219602594,0.978583196046129
20,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,10,1,41408,20,all,2026-02-26T03:29:03.472712Z,2026-02-26T03:41:21.672395Z,1670349,0.959061442758922,0.974820143884892
21,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,1,1,25027,21,other,2026-02-26T03:41:21.682343Z,2026-02-26T03:45:21.929026Z,1670349,0.968114897559971,0.976386600768808
22,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,2,1,25027,23,other,2026-02-26T03:45:21.936678Z,2026-02-26T03:48:08.435002Z,1670349,0.976969010604344,0.972542559033498
23,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,3,1,25027,25,other,2026-02-26T02:54:31.961273Z,2026-02-26T03:04:51.683506Z,1670352,0.97727787501287,0.974739154310818
24,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,4,1,25027,27,other,2026-02-26T03:04:51.752965Z,2026-02-26T03:16:31.685613Z,1670352,0.958107690723773,0.975288303130148
25,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,5,1,25027,29,other,2026-02-26T03:16:31.774983Z,2026-02-26T03:27:09.764710Z,1670352,0.965602800370638,0.974739154310818
26,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,6,1,25027,31,other,2026-02-26T03:27:09.841648Z,2026-02-26T03:37:25.359386Z,1670352,0.976063008339338,0.974190005491488
27,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,7,1,25027,33,other,2026-02-26T02:54:32.384303Z,2026-02-26T03:04:21.423917Z,1670354,0.975563949218341,0.975810885101704
28,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,8,1,25027,35,other,2026-02-26T03:04:21.491224Z,2026-02-26T03:15:06.609294Z,1670354,0.967778826985626,0.97306212204508
29,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,9,1,25027,37,other,2026-02-26T03:15:06.733085Z,2026-02-26T03:25:37.223153Z,1670354,0.971020879236177,0.974711379879054
2,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,1,1,41408,2,all,2026-02-26T03:12:22.628642Z,2026-02-26T03:29:03.670556Z,1670345,0.967544510385757,0.975197699496765
30,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,10,1,25027,39,other,2026-02-26T03:25:37.249612Z,2026-02-26T03:36:23.516537Z,1670354,0.96911132095268,0.976910390324354
31,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,1,1,25027,42,same,2026-02-26T02:54:32.850034Z,2026-02-26T03:06:01.345415Z,1670346,0.965400938513561,0.974838245866283
32,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,2,1,25027,44,same,2026-02-26T03:06:01.468854Z,2026-02-26T03:16:23.227552Z,1670346,0.957285239677265,0.974829198130169
33,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,3,1,25027,46,same,2026-02-26T03:16:23.254799Z,2026-02-26T03:26:31.013218Z,1670346,0.967970401691332,0.975907946781733
34,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,4,1,25027,48,same,2026-02-26T03:26:31.036448Z,2026-02-26T03:37:41.626973Z,1670346,0.958102860594554,0.974829198130169
35,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,5,1,25027,50,same,2026-02-26T02:54:33.543405Z,2026-02-26T03:04:52.345911Z,1670351,0.974375458428614,0.978784609852571
36,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,6,1,25027,52,same,2026-02-26T03:04:52.406994Z,2026-02-26T03:15:22.618884Z,1670351,0.958333692885189,0.975188781014024
37,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,7,1,25027,54,same,2026-02-26T03:15:22.650956Z,2026-02-26T03:25:12.109060Z,1670351,0.970518186132804,0.975548363897878
38,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,8,1,25027,56,same,2026-02-26T03:25:12.151538Z,2026-02-26T03:36:16.249173Z,1670351,0.978116337444068,0.97841726618705
