grid_job_i,task.i,learner.i,resampling.i,task_id,learner_id,resampling_id,test.subset,train.subsets,groups,test.fold,seed,n.train.groups,iteration,Train_subsets,start.time,end.time,process,classif.auc,classif.acc
1,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,1,1,41408,1,all,2026-02-24T17:01:18.347980Z,2026-02-24T17:03:16.127673Z,1,0.969010604344693,0.979132344865459
10,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,5,1,41408,10,all,2026-02-24T17:01:18.348308Z,2026-02-24T17:03:10.042630Z,5,0.97620485826466,0.98022294138799
11,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,6,1,41408,11,all,2026-02-24T17:01:18.349558Z,2026-02-24T17:05:26.916762Z,11,0.976423350149284,0.973640856672158
12,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,6,1,41408,12,all,2026-02-24T17:01:18.349725Z,2026-02-24T17:03:00.167495Z,18,0.958825559822238,0.974829198130169
13,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,7,1,41408,13,all,2026-02-24T17:01:18.348834Z,2026-02-24T17:05:31.976804Z,10,0.975018361137342,0.975261132490379
14,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,7,1,41408,14,all,2026-02-24T17:01:18.349687Z,2026-02-24T17:03:27.065140Z,6,0.96927988954567,0.975548363897878
15,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,8,1,41408,15,all,2026-02-24T17:01:18.348856Z,2026-02-24T17:05:54.681972Z,9,0.969478543699507,0.97306212204508
16,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,8,1,41408,16,all,2026-02-24T17:01:18.349946Z,2026-02-24T17:04:13.707604Z,7,0.979233875368329,0.977697841726619
17,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,9,1,41408,17,all,2026-02-24T17:01:18.350053Z,2026-02-24T17:05:32.545663Z,12,0.971881229671598,0.976910390324354
18,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,9,1,41408,18,all,2026-02-24T17:01:18.350111Z,2026-02-24T17:05:25.115140Z,13,0.971389282985921,0.974460431654676
