grid_job_i,task.i,learner.i,resampling.i,task_id,learner_id,resampling_id,test.subset,train.subsets,groups,test.fold,seed,n.train.groups,iteration,Train_subsets,start.time,end.time,process,classif.auc,classif.acc
1,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,1,1,41408,1,all,2026-03-06T18:52:15.008827Z,2026-03-06T18:55:21.643414Z,59149,0.968567898692473,0.979132344865459
10,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,5,1,41408,10,all,2026-03-06T18:55:35.566888Z,2026-03-06T18:58:38.066523Z,59148,0.976204858264665,0.98022294138799
11,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,6,1,41408,11,all,2026-03-06T18:58:38.080183Z,2026-03-06T19:01:17.083488Z,59148,0.976938124163501,0.973091707852828
12,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,6,1,41408,12,all,2026-03-06T19:01:17.088956Z,2026-03-06T19:06:36.351409Z,59148,0.958195624973031,0.974829198130169
13,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,7,1,41408,13,all,2026-03-06T19:06:36.356995Z,2026-03-06T19:10:22.288720Z,59148,0.975396075962648,0.975810885101704
14,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,7,1,41408,14,all,2026-03-06T19:10:22.295024Z,2026-03-06T19:12:25.377053Z,59148,0.97094964835828,0.975188781014024
15,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,8,1,41408,15,all,2026-03-06T19:12:25.381610Z,2026-03-06T19:14:48.837235Z,59148,0.969478543699507,0.97306212204508
16,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,8,1,41408,16,all,2026-03-06T18:52:15.426422Z,2026-03-06T18:55:21.771824Z,59151,0.979679144385024,0.978776978417266
17,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,9,1,41408,17,all,2026-03-06T18:55:21.789799Z,2026-03-06T18:58:28.372742Z,59151,0.973024866226002,0.976910390324354
18,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,9,1,41408,18,all,2026-03-06T18:58:28.378867Z,2026-03-06T19:01:25.972409Z,59151,0.970695187165781,0.973741007194245
19,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,10,1,41408,19,all,2026-03-06T19:01:25.977261Z,2026-03-06T19:06:47.931482Z,59151,0.971650403945017,0.975261132490379
2,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,1,1,41408,2,all,2026-03-06T18:55:21.686466Z,2026-03-06T18:58:26.779623Z,59149,0.967652335932646,0.975557153127247
20,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,10,1,41408,20,all,2026-03-06T19:06:47.937529Z,2026-03-06T19:10:28.141495Z,59151,0.957262905162061,0.975539568345324
21,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,1,1,25027,21,other,2026-03-06T19:10:28.146383Z,2026-03-06T19:12:02.829121Z,59151,0.968557603212191,0.977484898407468
22,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,2,1,25027,23,other,2026-03-06T19:12:02.835075Z,2026-03-06T19:13:19.534101Z,59151,0.976073303819618,0.973640856672158
23,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,3,1,25027,25,other,2026-03-06T19:13:19.543634Z,2026-03-06T19:14:48.781461Z,59151,0.977761762586221,0.974190005491488
24,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,4,1,25027,27,other,2026-03-06T18:52:15.633072Z,2026-03-06T18:54:39.734007Z,59150,0.957186245238344,0.975837451949478
25,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,5,1,25027,29,other,2026-03-06T18:54:39.758237Z,2026-03-06T18:56:49.521903Z,59150,0.965602800370638,0.974739154310818
26,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,6,1,25027,31,other,2026-03-06T18:56:49.528196Z,2026-03-06T18:58:52.066248Z,59150,0.977051374446625,0.975837451949478
27,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,7,1,25027,33,other,2026-03-06T18:58:52.071061Z,2026-03-06T19:00:55.262623Z,59150,0.975616409610746,0.975810885101704
28,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,8,1,25027,35,other,2026-03-06T19:00:55.267195Z,2026-03-06T19:03:00.040280Z,59150,0.967778826985628,0.97306212204508
29,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,9,1,25027,37,other,2026-03-06T19:03:00.045660Z,2026-03-06T19:07:29.961338Z,59150,0.970737593117195,0.975261132490379
3,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,2,1,41408,3,all,2026-03-06T18:58:26.785486Z,2026-03-06T19:01:14.884760Z,59149,0.978832492535784,0.975288303130148
30,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,10,1,25027,39,other,2026-03-06T19:07:29.966203Z,2026-03-06T19:10:06.161429Z,59150,0.969111320952685,0.976910390324354
31,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,1,1,25027,42,same,2026-03-06T18:52:15.868457Z,2026-03-06T18:54:46.762333Z,59154,0.965353495272925,0.974838245866283
32,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,2,1,25027,44,same,2026-03-06T18:54:46.772633Z,2026-03-06T18:56:47.863991Z,59154,0.957548431634812,0.975188781014024
33,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,3,1,25027,46,same,2026-03-06T18:56:47.870887Z,2026-03-06T18:58:39.345297Z,59154,0.969323035768208,0.974110032362459
34,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,4,1,25027,48,same,2026-03-06T18:58:39.361539Z,2026-03-06T19:00:50.254338Z,59154,0.959054234801746,0.975548363897878
35,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,5,1,25027,50,same,2026-03-06T19:00:50.260805Z,2026-03-06T19:02:47.396430Z,59154,0.974591189541364,0.97950377562028
36,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,6,1,25027,52,same,2026-03-06T19:02:47.401492Z,2026-03-06T19:07:23.606935Z,59154,0.957945376882255,0.974829198130169
37,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,7,1,25027,54,same,2026-03-06T19:07:23.611986Z,2026-03-06T19:10:17.760007Z,59154,0.967558355265991,0.975548363897878
38,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,8,1,25027,56,same,2026-03-06T18:52:16.251617Z,2026-03-06T18:54:23.440482Z,59153,0.979067990832699,0.97841726618705
39,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,9,1,25027,58,same,2026-03-06T18:54:23.450813Z,2026-03-06T18:56:35.708873Z,59153,0.970153879733717,0.973741007194245
4,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,2,1,41408,4,all,2026-03-06T19:01:14.892061Z,2026-03-06T19:06:37.731870Z,59149,0.960555723346419,0.974469615246314
40,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,10,1,25027,60,same,2026-03-06T18:56:35.723966Z,2026-03-06T18:58:35.021565Z,59153,0.957738731856379,0.974460431654676
41,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,1,1,16381,22,other,2026-03-06T18:58:35.026562Z,2026-03-06T19:00:40.506792Z,59153,0.966065143882408,0.974838245866283
42,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,2,1,16381,24,other,2026-03-06T19:00:40.511299Z,2026-03-06T19:02:32.180686Z,59153,0.953020235578376,0.97339086659475
43,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,3,1,16381,26,other,2026-03-06T19:02:32.187741Z,2026-03-06T19:07:10.580495Z,59153,0.968712516719173,0.971233369291622
44,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,4,1,16381,28,other,2026-03-06T19:07:10.585218Z,2026-03-06T19:09:58.430138Z,59153,0.95867454804332,0.971592952175476
45,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,5,1,16381,30,other,2026-03-06T19:09:58.458757Z,2026-03-06T19:11:40.227374Z,59153,0.975492945592612,0.977705861201007
46,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,6,1,16381,32,other,2026-03-06T18:52:16.597560Z,2026-03-06T18:54:24.057867Z,59152,0.956314449669929,0.973031283710895
47,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,7,1,16381,34,other,2026-03-06T18:54:24.077613Z,2026-03-06T18:56:51.167372Z,59152,0.967223972041248,0.976267529665588
48,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,8,1,16381,36,other,2026-03-06T18:56:51.194905Z,2026-03-06T18:59:15.356298Z,59152,0.977051184110007,0.97841726618705
49,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,9,1,16381,38,other,2026-03-06T18:59:15.367164Z,2026-03-06T19:01:20.955148Z,59152,0.964828113063403,0.972302158273381
5,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,3,1,41408,5,all,2026-03-06T19:06:37.739573Z,2026-03-06T19:10:20.838912Z,59149,0.978070626994752,0.974739154310818
50,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,10,1,16381,40,other,2026-03-06T19:01:20.960178Z,2026-03-06T19:03:12.870812Z,59152,0.954150387427704,0.973741007194245
51,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,1,1,16381,41,same,2026-03-06T19:03:12.877662Z,2026-03-06T19:07:37.057967Z,59152,0.963543704313811,0.978583196046129
52,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,2,1,16381,43,same,2026-03-06T19:07:37.064342Z,2026-03-06T19:10:19.097288Z,59152,0.976938124163495,0.975288303130148
53,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,3,1,16381,45,same,2026-03-06T18:52:17.149987Z,2026-03-06T18:54:26.200438Z,59155,0.976500566251419,0.973091707852828
54,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,4,1,16381,47,same,2026-03-06T18:54:26.222253Z,2026-03-06T18:56:42.252618Z,59155,0.959549057963551,0.975837451949478
55,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,5,1,16381,49,same,2026-03-06T18:56:42.270952Z,2026-03-06T18:58:40.075310Z,59155,0.962575929167096,0.971993410214168
56,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,6,1,16381,51,same,2026-03-06T18:58:40.080044Z,2026-03-06T19:00:35.725831Z,59155,0.973890661999384,0.973091707852828
57,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,7,1,16381,53,same,2026-03-06T19:00:35.731402Z,2026-03-06T19:02:40.514527Z,59155,0.970637918371631,0.97306212204508
58,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,8,1,16381,55,same,2026-03-06T19:02:40.544687Z,2026-03-06T19:07:30.428025Z,59155,0.969331654600776,0.97306212204508
59,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,9,1,16381,57,same,2026-03-06T19:07:30.442109Z,2026-03-06T19:10:36.985189Z,59155,0.967605707690695,0.975810885101704
6,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,3,1,41408,6,all,2026-03-06T19:10:20.843750Z,2026-03-06T19:12:35.468189Z,59149,0.970073780040575,0.975188781014024
60,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,10,1,16381,59,same,2026-03-06T19:10:36.989199Z,2026-03-06T19:12:03.071315Z,59155,0.967285699297033,0.976360637713029
7,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,4,1,41408,7,all,2026-03-06T19:12:35.473861Z,2026-03-06T19:14:42.353592Z,59149,0.961505199217547,0.975288303130148
8,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,4,1,41408,8,all,2026-03-06T19:14:42.357604Z,2026-03-06T19:16:28.982624Z,59149,0.960969927082879,0.973750449478605
9,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,5,1,41408,9,all,2026-03-06T18:52:15.207071Z,2026-03-06T18:55:35.557842Z,59148,0.965520436528366,0.970895112575508
